strategy,terminal_wealth,spread_pnl,inv_pnl,bid_fills,ask_fills,mean_spread,q_std,mean_abs_q,max_abs_q
as,-2234.835127034852,3779.255372965282,-6014.090500000134,25516,25518,17.874247738413384,0.05861875444061217,0.04572058946929824,0.3100000000000001
symmetric,-14198.091030866577,4304.386969133131,-18502.477999999708,23947,24216,17.87424773841991,1.2294122139712964,2.8888160266667215,5.309999999999931
