gamma,strategy,terminal_wealth,spread_pnl,inv_pnl,bid_fills,ask_fills,mean_spread,q_std,mean_abs_q,max_abs_q,markout_per_fill
0.0001,g=1.0e-04,-7145.041157595195,4549.686842404779,-11694.727999999974,67116,67111,6.146836610994484,0.18128218822547343,0.1411430588630176,0.8700000000000006,-0.08712649466947762
0.00019306977288832496,g=1.9e-04,-6054.491515936144,4929.2324840637775,-10983.723999999922,57312,57307,7.907267732400253,0.11371485931112615,0.08774594255191712,0.7100000000000004,-0.09582812622689015
0.0003727593720314938,g=3.7e-04,-4228.138972402984,4791.33352759711,-9019.472500000094,42656,42655,11.306128414736342,0.07526153746016169,0.05805118070364787,0.47000000000000025,-0.1057246134730585
0.0007196856730011522,g=7.2e-04,-2226.7154235151374,3781.0370764849913,-6007.752500000129,25531,25533,17.868302185642932,0.05863802473671398,0.045682944684446426,0.3100000000000001,-0.11765142762024379
0.0013894954943731374,g=1.4e-03,-1136.3303104864617,2284.1131895135627,-3420.4435000000244,11208,11215,30.53788053735634,0.054622177590350124,0.04319807059626908,0.23000000000000007,-0.15254174285332134
0.0026826957952797246,g=2.7e-03,-168.87987887980762,1008.1826211202213,-1177.0625000000289,3321,3328,54.999022863587854,0.054282424831577414,0.043571017277249074,0.22000000000000006,-0.1770285005263993
0.005179474679231213,g=5.2e-03,12.164343323725006,326.5408433237258,-314.3765000000008,654,663,102.22615467361555,0.04808171657708601,0.040845170269589906,0.12999999999999998,-0.2387065299924076
0.01,g=1.0e-02,-6.937221564650827,67.86677843534841,-74.80399999999923,84,88,193.40769097769788,0.02756314136218164,0.02582597171866817,0.08,-0.4349069767441816
